Distance Between Stations (km),Weather Conditions,Time of Day,Train Type,Historical Delay (min),Route Congestion,
100,Foggy,Afternoon,Superfast,41,Low,
235,Clear,Evening,Local,0,Medium,
150,Rainy,Night,Express,25,High,
75,Foggy,Morning,Superfast,42,Low,
245,Clear,Afternoon,Local,2,Medium,
160,Rainy,Evening,Express,26,High,
65,Foggy,Night,Superfast,43,Low,
270,Clear,Morning,Local,1,Medium,
190,Rainy,Afternoon,Express,27,High,
120,Foggy,Evening,Superfast,44,Low,
260,Clear,Night,Local,0,Medium,
130,Rainy,Morning,Express,28,High,
55,Foggy,Afternoon,Superfast,45,Low,
225,Clear,Evening,Local,2,Medium,
145,Rainy,Night,Express,29,High,
105,Foggy,Morning,Superfast,46,Low,
250,Clear,Afternoon,Local,1,Medium,
185,Rainy,Evening,Express,30,High,
90,Foggy,Night,Superfast,47,Low,
275,Clear,Morning,Local,0,Medium,
170,Rainy,Afternoon,Express,31,High,
80,Foggy,Evening,Superfast,48,Low,
215,Clear,Night,Local,2,Medium,
165,Rainy,Morning,Express,32,High,
115,Foggy,Afternoon,Superfast,49,Low,
235,Clear,Evening,Local,1,Medium,
150,Rainy,Night,Express,33,High,
100,Foggy,Morning,Superfast,50,Low,
245,Clear,Afternoon,Local,0,Medium,
180,Rainy,Evening,Express,34,High,
125,Foggy,Night,Superfast,51,Low,
265,Clear,Morning,Local,2,Medium,
190,Rainy,Afternoon,Express,35,High,
110,Foggy,Evening,Superfast,52,Low,
255,Clear,Night,Local,1,Medium,
140,Rainy,Morning,Express,36,High,
85,Foggy,Afternoon,Superfast,53,Low,
220,Clear,Evening,Local,0,Medium,
175,Rainy,Night,Express,37,High,
95,Foggy,Morning,Superfast,54,Low,
230,Clear,Afternoon,Local,2,Medium,
155,Rainy,Evening,Express,38,High,
70,Foggy,Night,Superfast,55,Low,
240,Clear,Morning,Local,1,Medium,
165,Rainy,Afternoon,Express,39,High,
60,Foggy,Evening,Superfast,56,Low,
250,Clear,Night,Local,0,Medium,
135,Rainy,Morning,Express,40,High,
50,Foggy,Afternoon,Superfast,57,Low,
225,Clear,Evening,Local,2,Medium,
145,Rainy,Night,Express,41,High,
105,Foggy,Morning,Superfast,58,Low,
235,Clear,Afternoon,Local,1,Medium,
170,Rainy,Evening,Express,42,High,
80,Foggy,Night,Superfast,59,Low,
215,Clear,Morning,Local,0,Medium,
160,Rainy,Afternoon,Express,43,High,
115,Foggy,Evening,Superfast,60,Low,
245,Clear,Night,Local,2,Medium,
185,Rainy,Morning,Express,44,High,
90,Foggy,Afternoon,Superfast,61,Low,
255,Clear,Evening,Local,1,Medium,
175,Rainy,Night,Express,45,High,
100,Foggy,Morning,Superfast,62,Low,
220,Clear,Afternoon,Local,0,Medium,
150,Rainy,Evening,Express,46,High,
75,Foggy,Night,Superfast,63,Low,
230,Clear,Morning,Local,2,Medium,
165,Rainy,Afternoon,Express,47,High,
65,Foggy,Evening,Superfast,64,Low,
240,Clear,Night,Local,1,Medium,
180,Rainy,Morning,Express,48,High,
110,Foggy,Afternoon,Superfast,65,Low,
250,Clear,Evening,Local,0,Medium,
140,Rainy,Night,Express,49,High,
85,Foggy,Morning,Superfast,66,Low,
260,Clear,Afternoon,Local,2,Medium,
190,Rainy,Evening,Express,50,High,
120,Foggy,Night,Superfast,67,Low,
265,Clear,Morning,Local,1,Medium,
170,Rainy,Afternoon,Express,51,High,
95,Foggy,Evening,Superfast,68,Low,
225,Clear,Night,Local,0,Medium,
155,Rainy,Morning,Express,52,High,
105,Foggy,Afternoon,Superfast,69,Low,
235,Clear,Evening,Local,2,Medium,
175,Rainy,Night,Express,53,High,
80,Foggy,Morning,Superfast,70,Low,
215,Clear,Afternoon,Local,1,Medium,
165,Rainy,Evening,Express,54,High,
70,Foggy,Night,Superfast,71,Low,
245,Clear,Morning,Local,0,Medium,
185,Rainy,Afternoon,Express,55,High,
115,Foggy,Evening,Superfast,72,Low,
255,Clear,Night,Local,2,Medium,
150,Rainy,Morning,Express,56,High,
100,Foggy,Afternoon,Superfast,73,Low,
220,Clear,Evening,Local,1,Medium,
160,Rainy,Night,Express,57,High,
75,Foggy,Morning,Superfast,74,Low,
230,Clear,Afternoon,Local,0,Medium,
140,Rainy,Evening,Express,58,High,
90,Foggy,Night,Superfast,75,Low,
260,Clear,Morning,Local,2,Medium,
190,Rainy,Afternoon,Express,59,High,
120,Foggy,Evening,Superfast,76,Low,
265,Clear,Night,Local,1,Medium,
170,Rainy,Morning,Express,60,High,
85,Foggy,Afternoon,Superfast,77,Low,
225,Clear,Evening,Local,0,Medium,
155,Rainy,Night,Express,61,High,
65,Foggy,Morning,Superfast,78,Low,
235,Clear,Afternoon,Local,2,Medium,
180,Rainy,Evening,Express,62,High,
110,Foggy,Night,Superfast,79,Low,
250,Clear,Morning,Local,1,Medium,
175,Rainy,Afternoon,Express,63,High,
95,Foggy,Evening,Superfast,80,Low,
240,Clear,Night,Local,0,Medium,
165,Rainy,Morning,Express,64,High,
105,Foggy,Afternoon,Superfast,81,Low,
255,Clear,Evening,Local,2,Medium,
145,Rainy,Night,Express,65,High,
80,Foggy,Morning,Superfast,82,Low,
220,Clear,Afternoon,Local,1,Medium,
160,Rainy,Evening,Express,66,High,
70,Foggy,Night,Superfast,83,Low,
230,Clear,Morning,Local,0,Medium,
185,Rainy,Afternoon,Express,67,High,
115,Foggy,Evening,Superfast,84,Low,
245,Clear,Night,Local,2,Medium,
175,Rainy,Morning,Express,68,High,
90,Foggy,Afternoon,Superfast,85,Low,
255,Clear,Evening,Local,1,Medium,
150,Rainy,Night,Express,69,High,
100,Foggy,Morning,Superfast,86,Low,
265,Clear,Afternoon,Local,0,Medium,
190,Rainy,Evening,Express,70,High,
125,Foggy,Night,Superfast,87,Low,
270,Clear,Morning,Local,2,Medium,
180,Rainy,Afternoon,Express,71,High,
85,Foggy,Evening,Superfast,88,Low,
220,Clear,Night,Local,1,Medium,
165,Rainy,Morning,Express,72,High,
95,Foggy,Afternoon,Superfast,89,Low,
235,Clear,Evening,Local,0,Medium,
155,Rainy,Night,Express,73,High,
105,Foggy,Morning,Superfast,90,Low,
250,Clear,Afternoon,Local,2,Medium,
140,Rainy,Evening,Express,74,High,
75,Foggy,Night,Superfast,91,Low,
260,Clear,Morning,Local,1,Medium,
175,Rainy,Afternoon,Express,75,High,
110,Foggy,Evening,Superfast,92,Low,
225,Clear,Night,Local,0,Medium,
170,Rainy,Morning,Express,76,High,
120,Foggy,Afternoon,Superfast,93,Low,
215,Clear,Evening,Local,2,Medium,
160,Rainy,Night,Express,77,High,
65,Foggy,Morning,Superfast,94,Low,
240,Clear,Afternoon,Local,1,Medium,
185,Rainy,Evening,Express,78,High,
95,Foggy,Night,Superfast,95,Low,
255,Clear,Morning,Local,0,Medium,
150,Rainy,Afternoon,Express,79,High,
80,Foggy,Evening,Superfast,96,Low,
230,Clear,Night,Local,2,Medium,
145,Rainy,Morning,Express,80,High,
70,Foggy,Afternoon,Superfast,97,Low,
245,Clear,Evening,Local,1,Medium,
190,Rainy,Night,Express,81,High,
125,Foggy,Morning,Superfast,98,Low,
265,Clear,Afternoon,Local,0,Medium,
180,Rainy,Evening,Express,82,High,
110,Foggy,Night,Superfast,99,Low,
220,Clear,Morning,Local,2,Medium,
175,Rainy,Afternoon,Express,83,High,
85,Foggy,Evening,Superfast,100,Low,
215,Clear,Night,Local,1,Medium,
165,Rainy,Morning,Express,84,High,
95,Foggy,Afternoon,Superfast,101,Low,
235,Clear,Evening,Local,0,Medium,
150,Rainy,Night,Express,85,High,
105,Foggy,Morning,Superfast,102,Low,
250,Clear,Afternoon,Local,2,Medium,
190,Rainy,Evening,Express,86,High,
120,Foggy,Night,Superfast,103,Low,
260,Clear,Morning,Local,1,Medium,
135,Rainy,Afternoon,Express,87,High,
75,Foggy,Evening,Superfast,104,Low,
225,Clear,Night,Local,0,Medium,
170,Rainy,Morning,Express,88,High,
65,Foggy,Afternoon,Superfast,105,Low,
240,Clear,Evening,Local,2,Medium,
155,Rainy,Night,Express,89,High,
100,Foggy,Morning,Superfast,106,Low,
255,Clear,Afternoon,Local,1,Medium,
185,Rainy,Evening,Express,90,High,
90,Foggy,Night,Superfast,107,Low,
220,Clear,Morning,Local,0,Medium,
140,Rainy,Afternoon,Express,91,High,
80,Foggy,Evening,Superfast,108,Low,
230,Clear,Night,Local,2,Medium,
160,Rainy,Morning,Express,92,High,
70,Foggy,Afternoon,Superfast,109,Low,
245,Clear,Evening,Local,1,Medium,
180,Rainy,Night,Express,93,High,
115,Foggy,Morning,Superfast,110,Low,
265,Clear,Afternoon,Local,0,Medium,
175,Rainy,Evening,Express,94,High,
85,Foggy,Night,Superfast,111,Low,
215,Clear,Morning,Local,2,Medium,
165,Rainy,Afternoon,Express,95,High,
95,Foggy,Evening,Superfast,112,Low,
235,Clear,Night,Local,1,Medium,
150,Rainy,Morning,Express,96,High,
105,Foggy,Afternoon,Superfast,113,Low,
250,Clear,Evening,Local,0,Medium,
190,Rainy,Night,Express,97,High,
120,Foggy,Morning,Superfast,114,Low,
260,Clear,Afternoon,Local,2,Medium,
135,Rainy,Evening,Express,98,High,
75,Foggy,Night,Superfast,115,Low,
225,Clear,Morning,Local,1,Medium,
170,Rainy,Afternoon,Express,99,High,
65,Foggy,Evening,Superfast,116,Low,
240,Clear,Night,Local,0,Medium,
155,Rainy,Morning,Express,100,High,
100,Foggy,Afternoon,Superfast,117,Low,
255,Clear,Evening,Local,2,Medium,
185,Rainy,Night,Express,101,High,
90,Foggy,Morning,Superfast,118,Low,
220,Clear,Afternoon,Local,1,Medium,
140,Rainy,Evening,Express,102,High,
80,Foggy,Night,Superfast,119,Low,
230,Clear,Morning,Local,0,Medium,
160,Rainy,Afternoon,Express,103,High,
70,Foggy,Evening,Superfast,120,Low,
245,Clear,Night,Local,2,Medium,
180,Rainy,Morning,Express,104,High,
115,Foggy,Afternoon,Superfast,121,Low,
265,Clear,Evening,Local,1,Medium,
175,Rainy,Night,Express,105,High,
85,Foggy,Morning,Superfast,122,Low,
215,Clear,Afternoon,Local,0,Medium,
165,Rainy,Evening,Express,106,High,
95,Foggy,Night,Superfast,123,Low,
235,Clear,Morning,Local,2,Medium,
150,Rainy,Afternoon,Express,107,High,
105,Foggy,Evening,Superfast,124,Low,
250,Clear,Night,Local,1,Medium,
190,Rainy,Morning,Express,108,High,
120,Foggy,Afternoon,Superfast,125,Low,
260,Clear,Evening,Local,0,Medium,
135,Rainy,Night,Express,109,High,
75,Foggy,Morning,Superfast,126,Low,
225,Clear,Afternoon,Local,2,Medium,
170,Rainy,Evening,Express,110,High,
65,Foggy,Night,Superfast,127,Low,
240,Clear,Morning,Local,1,Medium,
155,Rainy,Afternoon,Express,111,High,
100,Foggy,Evening,Superfast,128,Low,
255,Clear,Night,Local,0,Medium,
185,Rainy,Morning,Express,112,High,
90,Foggy,Afternoon,Superfast,129,Low,
220,Clear,Evening,Local,2,Medium,
140,Rainy,Night,Express,113,High,
80,Foggy,Morning,Superfast,130,Low,
230,Clear,Afternoon,Local,1,Medium,
160,Rainy,Evening,Express,114,High,
70,Foggy,Night,Superfast,131,Low,
245,Clear,Morning,Local,0,Medium,
180,Rainy,Afternoon,Express,115,High,
115,Foggy,Evening,Superfast,132,Low,
265,Clear,Night,Local,2,Medium,
175,Rainy,Morning,Express,116,High,
85,Foggy,Afternoon,Superfast,133,Low,
215,Clear,Evening,Local,1,Medium,
165,Rainy,Night,Express,117,High,
95,Foggy,Morning,Superfast,134,Low,
235,Clear,Afternoon,Local,0,Medium,
150,Rainy,Evening,Express,118,High,
105,Foggy,Night,Superfast,135,Low,
250,Clear,Morning,Local,2,Medium,
190,Rainy,Afternoon,Express,119,High,
120,Foggy,Evening,Superfast,136,Low,
260,Clear,Night,Local,1,Medium,
135,Rainy,Morning,Express,120,High,
75,Foggy,Afternoon,Superfast,137,Low,
225,Clear,Evening,Local,0,Medium,
170,Rainy,Night,Express,121,High,
65,Foggy,Morning,Superfast,138,Low,
240,Clear,Afternoon,Local,2,Medium,
155,Rainy,Evening,Express,122,High,
100,Foggy,Night,Superfast,139,Low,
255,Clear,Morning,Local,1,Medium,
185,Rainy,Afternoon,Express,123,High,
90,Foggy,Evening,Superfast,140,Low,
220,Clear,Night,Local,0,Medium,
140,Rainy,Morning,Express,124,High,
80,Foggy,Afternoon,Superfast,141,Low,
230,Clear,Evening,Local,2,Medium,
160,Rainy,Night,Express,125,High,
70,Foggy,Morning,Superfast,142,Low,
245,Clear,Afternoon,Local,1,Medium,
180,Rainy,Evening,Express,126,High,
115,Foggy,Night,Superfast,143,Low,
265,Clear,Morning,Local,0,Medium,
175,Rainy,Afternoon,Express,127,High,
85,Foggy,Evening,Superfast,144,Low,
215,Clear,Night,Local,2,Medium,
165,Rainy,Morning,Express,128,High,
95,Foggy,Afternoon,Superfast,145,Low,
235,Clear,Evening,Local,1,Medium,
150,Rainy,Night,Express,129,High,
105,Foggy,Morning,Superfast,146,Low,
250,Clear,Afternoon,Local,0,Medium,
190,Rainy,Evening,Express,130,High,
120,Foggy,Night,Superfast,147,Low,
260,Clear,Morning,Local,2,Medium,
135,Rainy,Afternoon,Express,131,High,
75,Foggy,Evening,Superfast,148,Low,
225,Clear,Night,Local,1,Medium,
170,Rainy,Morning,Express,132,High,
65,Foggy,Afternoon,Superfast,149,Low,
240,Clear,Evening,Local,0,Medium,
155,Rainy,Night,Express,133,High,
100,Foggy,Morning,Superfast,150,Low,
255,Clear,Afternoon,Local,2,Medium,
185,Rainy,Evening,Express,134,High,
90,Foggy,Night,Superfast,151,Low,
220,Clear,Morning,Local,1,Medium,
140,Rainy,Afternoon,Express,135,High,
80,Foggy,Evening,Superfast,152,Low,
230,Clear,Night,Local,0,Medium,
160,Rainy,Morning,Express,136,High,
70,Foggy,Afternoon,Superfast,153,Low,
245,Clear,Evening,Local,2,Medium,
180,Rainy,Night,Express,137,High,
115,Foggy,Morning,Superfast,154,Low,
265,Clear,Afternoon,Local,1,Medium,
175,Rainy,Evening,Express,138,High,
85,Foggy,Night,Superfast,155,Low,
215,Clear,Morning,Local,0,Medium,
165,Rainy,Afternoon,Express,139,High,
95,Foggy,Evening,Superfast,156,Low,
235,Clear,Night,Local,2,Medium,
150,Rainy,Morning,Express,140,High,
105,Foggy,Afternoon,Superfast,157,Low,
250,Clear,Evening,Local,1,Medium,
190,Rainy,Night,Express,141,High,
120,Foggy,Morning,Superfast,158,Low,
260,Clear,Afternoon,Local,0,Medium,
135,Rainy,Evening,Express,142,High,
75,Foggy,Night,Superfast,159,Low,
225,Clear,Morning,Local,2,Medium,
170,Rainy,Afternoon,Express,143,High,
65,Foggy,Evening,Superfast,160,Low,
240,Clear,Night,Local,1,Medium,
155,Rainy,Morning,Express,144,High,
100,Foggy,Afternoon,Superfast,161,Low,
255,Clear,Evening,Local,0,Medium,
185,Rainy,Night,Express,145,High,
90,Foggy,Morning,Superfast,162,Low,
220,Clear,Afternoon,Local,2,Medium,
140,Rainy,Evening,Express,146,High,
80,Foggy,Night,Superfast,163,Low,
230,Clear,Morning,Local,1,Medium,
160,Rainy,Afternoon,Express,147,High,
70,Foggy,Evening,Superfast,164,Low,
245,Clear,Night,Local,0,Medium,
180,Rainy,Morning,Express,148,High,
115,Foggy,Afternoon,Superfast,165,Low,
265,Clear,Evening,Local,2,Medium,
175,Rainy,Night,Express,149,High,
85,Foggy,Morning,Superfast,166,Low,
215,Clear,Afternoon,Local,1,Medium,
165,Rainy,Evening,Express,150,High,
95,Foggy,Night,Superfast,167,Low,
235,Clear,Morning,Local,0,Medium,
150,Rainy,Afternoon,Express,151,High,
105,Foggy,Evening,Superfast,168,Low,
250,Clear,Night,Local,2,Medium,
190,Rainy,Morning,Express,152,High,
120,Foggy,Afternoon,Superfast,169,Low,
260,Clear,Evening,Local,1,Medium,
135,Rainy,Night,Express,153,High,
75,Foggy,Morning,Superfast,170,Low,
225,Clear,Afternoon,Local,0,Medium,
170,Rainy,Evening,Express,154,High,
65,Foggy,Night,Superfast,171,Low,
240,Clear,Morning,Local,2,Medium,
155,Rainy,Afternoon,Express,155,High,
100,Foggy,Evening,Superfast,172,Low,
255,Clear,Night,Local,1,Medium,
185,Rainy,Morning,Express,156,High,
90,Foggy,Afternoon,Superfast,173,Low,
220,Clear,Evening,Local,0,Medium,
140,Rainy,Night,Express,157,High,
80,Foggy,Morning,Superfast,174,Low,
230,Clear,Afternoon,Local,2,Medium,
160,Rainy,Evening,Express,158,High,
70,Foggy,Night,Superfast,175,Low,
245,Clear,Morning,Local,1,Medium,
180,Rainy,Afternoon,Express,159,High,
115,Foggy,Evening,Superfast,176,Low,
265,Clear,Night,Local,0,Medium,
175,Rainy,Morning,Express,160,High,
85,Foggy,Afternoon,Superfast,177,Low,
215,Clear,Evening,Local,2,Medium,
165,Rainy,Night,Express,161,High,
95,Foggy,Morning,Superfast,178,Low,
235,Clear,Afternoon,Local,1,Medium,
150,Rainy,Evening,Express,162,High,
105,Foggy,Night,Superfast,179,Low,
250,Clear,Morning,Local,0,Medium,
190,Rainy,Afternoon,Express,163,High,
120,Foggy,Evening,Superfast,180,Low,
260,Clear,Night,Local,2,Medium,
135,Rainy,Morning,Express,164,High,
75,Foggy,Afternoon,Superfast,181,Low,
225,Clear,Evening,Local,1,Medium,
170,Rainy,Night,Express,165,High,
65,Foggy,Morning,Superfast,182,Low,
240,Clear,Afternoon,Local,0,Medium,
155,Rainy,Evening,Express,166,High,
100,Foggy,Night,Superfast,183,Low,
255,Clear,Morning,Local,2,Medium,
185,Rainy,Afternoon,Express,167,High,
90,Foggy,Evening,Superfast,184,Low,
220,Clear,Night,Local,1,Medium,
140,Rainy,Morning,Express,168,High,
80,Foggy,Afternoon,Superfast,185,Low,
230,Clear,Evening,Local,0,Medium,
160,Rainy,Night,Express,169,High,
70,Foggy,Morning,Superfast,186,Low,
245,Clear,Afternoon,Local,2,Medium,
180,Rainy,Evening,Express,170,High,
115,Foggy,Night,Superfast,187,Low,
265,Clear,Morning,Local,1,Medium,
175,Rainy,Afternoon,Express,171,High,
85,Foggy,Evening,Superfast,188,Low,
215,Clear,Night,Local,0,Medium,
165,Rainy,Morning,Express,172,High,
95,Foggy,Afternoon,Superfast,189,Low,
235,Clear,Evening,Local,2,Medium,
150,Rainy,Night,Express,173,High,
105,Foggy,Morning,Superfast,190,Low,
250,Clear,Afternoon,Local,1,Medium,
190,Rainy,Evening,Express,174,High,
120,Foggy,Night,Superfast,191,Low,
260,Clear,Morning,Local,0,Medium,
135,Rainy,Afternoon,Express,175,High,
75,Foggy,Evening,Superfast,192,Low,
225,Clear,Night,Local,2,Medium,
170,Rainy,Morning,Express,176,High,
65,Foggy,Afternoon,Superfast,193,Low,
240,Clear,Evening,Local,1,Medium,
155,Rainy,Night,Express,177,High,
100,Foggy,Morning,Superfast,194,Low,
255,Clear,Afternoon,Local,0,Medium,
185,Rainy,Evening,Express,178,High,
90,Foggy,Night,Superfast,195,Low,
220,Clear,Morning,Local,2,Medium,
140,Rainy,Afternoon,Express,179,High,
80,Foggy,Evening,Superfast,196,Low,
230,Clear,Night,Local,1,Medium,
160,Rainy,Morning,Express,180,High,
70,Foggy,Afternoon,Superfast,197,Low,
245,Clear,Evening,Local,0,Medium,
180,Rainy,Night,Express,181,High,
115,Foggy,Morning,Superfast,198,Low,
265,Clear,Afternoon,Local,2,Medium,
175,Rainy,Evening,Express,182,High,
85,Foggy,Night,Superfast,199,Low,
215,Clear,Morning,Local,1,Medium,
165,Rainy,Afternoon,Express,183,High,
95,Foggy,Evening,Superfast,200,Low,
235,Clear,Night,Local,0,Medium,
150,Rainy,Morning,Express,184,High,
105,Foggy,Afternoon,Superfast,201,Low,
250,Clear,Evening,Local,2,Medium,
190,Rainy,Night,Express,185,High,
120,Foggy,Morning,Superfast,202,Low,
260,Clear,Afternoon,Local,1,Medium,
135,Rainy,Evening,Express,186,High,
75,Foggy,Night,Superfast,203,Low,
225,Clear,Morning,Local,0,Medium,
170,Rainy,Afternoon,Express,187,High,
65,Foggy,Evening,Superfast,204,Low,
240,Clear,Night,Local,2,Medium,
155,Rainy,Morning,Express,188,High,
100,Foggy,Afternoon,Superfast,205,Low,
255,Clear,Evening,Local,1,Medium,
185,Rainy,Night,Express,189,High,
90,Foggy,Morning,Superfast,206,Low,
220,Clear,Afternoon,Local,0,Medium,
140,Rainy,Evening,Express,190,High,
80,Foggy,Night,Superfast,207,Low,
230,Clear,Morning,Local,2,Medium,
160,Rainy,Afternoon,Express,191,High,
70,Foggy,Evening,Superfast,208,Low,
245,Clear,Night,Local,1,Medium,
180,Rainy,Morning,Express,192,High,
115,Foggy,Afternoon,Superfast,209,Low,
265,Clear,Evening,Local,0,Medium,
175,Rainy,Night,Express,193,High,
85,Foggy,Morning,Superfast,210,Low,
215,Clear,Afternoon,Local,2,Medium,
165,Rainy,Evening,Express,194,High,
95,Foggy,Night,Superfast,211,Low,
235,Clear,Morning,Local,1,Medium,
150,Rainy,Afternoon,Express,195,High,
105,Foggy,Evening,Superfast,212,Low,
250,Clear,Night,Local,0,Medium,
190,Rainy,Morning,Express,196,High,
120,Foggy,Afternoon,Superfast,213,Low,
260,Clear,Evening,Local,2,Medium,
135,Rainy,Night,Express,197,High,
75,Foggy,Morning,Superfast,214,Low,
225,Clear,Afternoon,Local,1,Medium,
170,Rainy,Evening,Express,198,High,
65,Foggy,Night,Superfast,215,Low,
240,Clear,Morning,Local,0,Medium,
155,Rainy,Afternoon,Express,199,High,
100,Foggy,Evening,Superfast,216,Low,
255,Clear,Night,Local,2,Medium,
185,Rainy,Morning,Express,200,High,
90,Foggy,Afternoon,Superfast,217,Low,
220,Clear,Evening,Local,1,Medium,
140,Rainy,Night,Express,201,High,
80,Foggy,Morning,Superfast,218,Low,
230,Clear,Afternoon,Local,0,Medium,
160,Rainy,Evening,Express,202,High,
70,Foggy,Night,Superfast,219,Low,
245,Clear,Morning,Local,2,Medium,
180,Rainy,Afternoon,Express,203,High,
115,Foggy,Evening,Superfast,220,Low,
265,Clear,Night,Local,1,Medium,
175,Rainy,Morning,Express,204,High,
85,Foggy,Afternoon,Superfast,221,Low,
215,Clear,Evening,Local,0,Medium,
165,Rainy,Night,Express,205,High,
95,Foggy,Morning,Superfast,222,Low,
235,Clear,Afternoon,Local,2,Medium,
150,Rainy,Evening,Express,206,High,
105,Foggy,Night,Superfast,223,Low,
250,Clear,Morning,Local,1,Medium,
190,Rainy,Afternoon,Express,207,High,
120,Foggy,Evening,Superfast,224,Low,
