route_id,source_id,name_source,city_source,zone_source,facilities_source,destination_id,name_dest,city_dest,zone_dest,facilities_dest,distance_km,avg_speed_kmph,travel_time_hr,ticket_price_inr,train_type,stops,delay_probability,lat_source,lon_source,lat_dest,lon_dest,source,destination,lat_destination,lon_destination
465,1251,Station_1251,City_331,ER,Premium,1228,Station_1228,City_344,NCR,Basic,1589,80,19.86,1784.65,Superfast,2,0.15,10.344418701249872,76.60709796226497,11.411874,72.330301,Jodhpur,Coimbatore,23.462152184195933,87.31743198753965
7187,1907,Station_1907,City_30,SR,Basic,1228,Station_1228,City_344,NCR,Basic,1119,80,13.99,463.08,Rajdhani,8,0.28,21.123079616700373,72.3229883267831,11.411874,72.330301,Visakhapatnam,Guwahati,16.85759836947348,68.66092968695943
5280,947,Station_947,City_118,WR,Standard,1228,Station_1228,City_344,NCR,Basic,1904,50,38.08,1022.16,Rajdhani,9,0.1,24.094310753161214,79.52297824687288,11.411874,72.330301,Shimla,Delhi,24.040407663683098,68.47551905992603
4789,1518,Station_1518,City_76,NCR,Standard,1228,Station_1228,City_344,NCR,Basic,355,70,5.07,143.21,Passenger,7,0.21,16.215753989647233,69.56726877149612,11.411874,72.330301,Bengaluru,Varanasi,18.192813710849997,85.33677631601263
8017,1146,Station_1146,City_71,SR,Standard,1228,Station_1228,City_344,NCR,Basic,1674,100,16.74,1539.38,Express,7,0.05,12.495897581734564,78.72561149451042,11.411874,72.330301,Ranchi,Bengaluru,18.331594169077636,89.3326413901187
4407,611,Station_611,City_64,NWR,Basic,1228,Station_1228,City_344,NCR,Basic,1542,120,12.85,998.76,Passenger,0,0.29,13.22734330341693,70.87802035461988,11.411874,72.330301,Dehradun,Surat,11.427846814395501,76.16728753437182
4364,710,Station_710,City_492,SCR,Basic,1228,Station_1228,City_344,NCR,Basic,546,100,5.46,506.22,Rajdhani,5,0.14,9.998564383441057,83.6804477825956,11.411874,72.330301,Patna,Chandigarh,28.817434627862212,88.12423384260651
3371,1386,Station_1386,City_90,SR,Basic,407,Station_407,City_477,NCR,Premium,1270,70,18.14,434.4,Express,1,0.03,24.19261722002294,89.56059139201703,25.778976,72.712559,Pune,Kochi,14.070989840081234,73.16801785539788
41,879,Station_879,City_318,NWR,Basic,407,Station_407,City_477,NCR,Premium,1020,120,8.5,1024.53,Express,8,0.18,26.968643624538714,76.71391004444087,25.778976,72.712559,Chandigarh,Kanpur,24.16650832671276,79.69932975235028
5604,1722,Station_1722,City_498,NWR,Standard,407,Station_407,City_477,NCR,Premium,405,80,5.06,434.56,Shatabdi,7,0.26,16.31757157530656,71.30154383669192,25.778976,72.712559,Aurangabad,Lucknow,17.241921198048637,94.28597504430485
435,1247,Station_1247,City_340,NWR,Basic,407,Station_407,City_477,NCR,Premium,1460,100,14.6,975.76,Express,4,0.08,33.00933826958695,93.69713031085185,25.778976,72.712559,Visakhapatnam,Lucknow,19.83249480916116,89.35047889070762
5389,264,Station_264,City_391,NER,Premium,407,Station_407,City_477,NCR,Premium,66,70,0.94,29.05,Superfast,3,0.24,26.11704053440612,69.60652059876084,25.778976,72.712559,Trivandrum,Jaipur,23.04060955917198,79.41409108511948
9662,1953,Station_1953,City_189,NER,Premium,407,Station_407,City_477,NCR,Premium,274,60,4.57,97.89,Passenger,1,0.09,23.970741324886564,76.52635701608841,25.778976,72.712559,Visakhapatnam,Ahmedabad,20.288181559899115,79.97205948637256
2217,1210,Station_1210,City_236,SCR,Standard,407,Station_407,City_477,NCR,Premium,1106,80,13.82,524.29,Shatabdi,0,0.06,23.925484606076786,77.16372670692029,25.778976,72.712559,Chennai,Mumbai,35.721770921687806,88.71769205374748
2721,1053,Station_1053,City_165,NR,Basic,407,Station_407,City_477,NCR,Premium,1414,120,11.78,1534.65,Passenger,3,0.24,23.12201738882724,90.27079289179419,25.778976,72.712559,Mysuru,Aurangabad,12.229030958122758,89.014503641406
6393,544,Station_544,City_486,NER,Standard,407,Station_407,City_477,NCR,Premium,1052,80,13.15,1136.36,Superfast,9,0.2,30.366466181286494,78.48211773330496,25.778976,72.712559,Kanpur,Bengaluru,23.162563095269743,70.06572110867376
5842,1062,Station_1062,City_395,SR,Standard,407,Station_407,City_477,NCR,Premium,74,120,0.62,79.07,Passenger,9,0.17,22.9124378447287,74.49813938699175,25.778976,72.712559,Shimla,Chennai,14.003179903436138,72.330088879562
6201,1386,Station_1386,City_90,SR,Basic,1047,Station_1047,City_128,NER,Standard,1668,60,27.8,1858.87,Rajdhani,9,0.2,28.861071388662833,92.88829009972508,12.734815,89.376418,Jodhpur,Shillong,35.898666217427646,87.57725321989979
9189,1538,Station_1538,City_470,NER,Standard,1047,Station_1047,City_128,NER,Standard,1457,50,29.14,668.73,Rajdhani,9,0.26,16.64533954124466,79.88903866927119,12.734815,89.376418,Delhi,Bhopal,36.98383556063676,86.3224802492014
7448,287,Station_287,City_262,SR,Standard,1047,Station_1047,City_128,NER,Standard,1625,120,13.54,1818.54,Superfast,0,0.27,31.63774583670113,80.23473910136215,12.734815,89.376418,Chandigarh,Jammu,23.060619534765305,78.89514406770058
3933,1042,Station_1042,City_212,NR,Premium,1047,Station_1047,City_128,NER,Standard,209,50,4.18,158.22,Superfast,10,0.05,30.081456111818703,76.53128327445822,12.734815,89.376418,Guwahati,Madurai,18.356897405310775,71.07165643371069
9069,1526,Station_1526,City_29,NCR,Basic,1047,Station_1047,City_128,NER,Standard,1258,100,12.58,640.51,Express,8,0.23,11.7356821065609,85.96943088360129,12.734815,89.376418,Kanpur,Mumbai,21.884387989930033,69.44938148086713
2376,202,Station_202,City_383,WR,Standard,1047,Station_1047,City_128,NER,Standard,1620,60,27.0,1674.97,Express,10,0.25,15.620012254933663,70.74862808853395,12.734815,89.376418,Lucknow,Hyderabad,18.018236967632113,87.00031313168678
9094,120,Station_120,City_444,NER,Standard,1047,Station_1047,City_128,NER,Standard,344,60,5.73,253.35,Express,5,0.18,23.279084943156455,94.02176775286523,12.734815,89.376418,Shimla,Hyderabad,15.119711031062177,84.91824840888249
1271,185,Station_185,City_362,NWR,Basic,1047,Station_1047,City_128,NER,Standard,1722,120,14.35,1666.4,Shatabdi,10,0.17,12.788116536877379,68.08185176572597,12.734815,89.376418,Patna,Visakhapatnam,17.552826910293483,89.80930588064498
5194,1596,Station_1596,City_205,NER,Basic,1047,Station_1047,City_128,NER,Standard,106,120,0.88,84.79,Superfast,9,0.2,22.67924838610809,69.22063266687019,12.734815,89.376418,Surat,Ahmedabad,12.972671474253513,81.10306004235073
7256,1386,Station_1386,City_90,SR,Basic,1536,Station_1536,City_244,NR,Premium,949,100,9.49,602.18,Rajdhani,5,0.03,26.682020358661514,96.30563551495767,28.754466,91.819596,Jammu,Shimla,11.527232892600207,92.02814177753973
5256,1949,Station_1949,City_176,NER,Premium,1536,Station_1536,City_244,NR,Premium,87,120,0.72,32.8,Rajdhani,4,0.08,24.449550281068444,79.56117475535613,28.754466,91.819596,Raipur,Patna,26.021625197414238,73.88905104628904
1343,1140,Station_1140,City_495,NR,Basic,1536,Station_1536,City_244,NR,Premium,649,50,12.98,434.7,Shatabdi,1,0.04,18.861904678040002,88.4226733155468,28.754466,91.819596,Kanpur,Varanasi,33.55740007960155,92.55568140154378
4229,474,Station_474,City_106,NWR,Premium,1536,Station_1536,City_244,NR,Premium,1443,120,12.03,1441.97,Rajdhani,3,0.2,10.720554199386303,79.30192691189268,28.754466,91.819596,Bengaluru,Guwahati,33.7275281160182,83.75886256601899
7710,1386,Station_1386,City_90,SR,Basic,1847,Station_1847,City_470,SR,Standard,139,80,1.74,117.46,Shatabdi,2,0.08,28.760744782106773,87.95361568180508,9.935572,89.069595,Varanasi,Pune,17.484298767446873,69.62553803369062
83,1686,Station_1686,City_109,ER,Premium,1847,Station_1847,City_470,SR,Standard,280,80,3.5,126.73,Express,3,0.03,33.76591579743864,75.351981107743,9.935572,89.069595,Patna,Madurai,22.829435121019404,82.28864494568245
9228,691,Station_691,City_45,SR,Premium,1847,Station_1847,City_470,SR,Standard,419,100,4.19,405.09,Passenger,2,0.14,21.686136483700846,80.9019428101429,9.935572,89.069595,Shillong,Guwahati,27.445341200247405,72.81404771945613
7371,513,Station_513,City_192,SR,Premium,1847,Station_1847,City_470,SR,Standard,699,120,5.83,382.61,Passenger,6,0.28,26.19688128562453,95.92053883579018,9.935572,89.069595,Bhopal,Raipur,22.117561315746947,84.86466418974408
9853,409,Station_409,City_289,SCR,Standard,1847,Station_1847,City_470,SR,Standard,1610,100,16.1,1861.05,Express,7,0.03,16.125094737609793,95.7825995675266,9.935572,89.069595,Lucknow,Mysuru,19.01456355794614,76.33054222484108
716,294,Station_294,City_38,NR,Standard,1847,Station_1847,City_470,SR,Standard,262,120,2.18,133.7,Shatabdi,0,0.17,9.01137405513729,94.1751557207255,9.935572,89.069595,Coimbatore,Mysuru,9.687584799247688,79.44767982812232
7923,1926,Station_1926,City_345,NCR,Basic,1847,Station_1847,City_470,SR,Standard,446,60,7.43,198.55,Rajdhani,3,0.1,30.686416819579826,86.85620337768295,9.935572,89.069595,Aurangabad,Lucknow,16.751998988717464,84.04929698355758
9938,1126,Station_1126,City_75,SR,Basic,1847,Station_1847,City_470,SR,Standard,925,50,18.5,428.84,Express,4,0.29,30.981027161877662,75.51216339210688,9.935572,89.069595,Varanasi,Bhopal,34.793058447076554,68.58298666877702
5350,464,Station_464,City_479,ER,Basic,1847,Station_1847,City_470,SR,Standard,811,70,11.59,695.15,Passenger,1,0.1,19.938859560600285,94.57542564069391,9.935572,89.069595,Patna,Kolkata,29.970112693180376,77.84822279618349
7886,1386,Station_1386,City_90,SR,Basic,1421,Station_1421,City_185,NER,Standard,1844,120,15.37,1070.94,Superfast,9,0.16,25.164220042169966,78.79360511082494,19.529182,88.762949,Chennai,Varanasi,15.048420431314025,93.95509419648391
520,1315,Station_1315,City_373,NWR,Basic,1421,Station_1421,City_185,NER,Standard,201,80,2.51,222.96,Shatabdi,3,0.23,28.289340869495106,87.44662596329735,19.529182,88.762949,Bhopal,Chennai,9.308350956501208,88.524740764677
708,1562,Station_1562,City_148,NER,Basic,1421,Station_1421,City_185,NER,Standard,1701,50,34.02,880.4,Passenger,5,0.13,30.886844020700313,72.65816625552213,19.529182,88.762949,Jaipur,Shillong,23.75553584473796,78.4219902446081
8795,54,Station_54,City_161,ER,Basic,1421,Station_1421,City_185,NER,Standard,1753,100,17.53,1736.31,Shatabdi,9,0.28,13.18771462483304,89.68734712534736,19.529182,88.762949,Shillong,Indore,11.411852813503375,69.95553946270965
9183,699,Station_699,City_91,SCR,Premium,1421,Station_1421,City_185,NER,Standard,1943,70,27.76,2034.42,Passenger,6,0.25,32.20443681958716,96.9875079129521,19.529182,88.762949,Guwahati,Kochi,20.167697863440665,85.47226101498703
5049,892,Station_892,City_343,SR,Basic,1421,Station_1421,City_185,NER,Standard,303,60,5.05,186.97,Rajdhani,2,0.1,10.825173567425823,75.27477110545391,19.529182,88.762949,Hyderabad,Patna,13.70943592359944,95.75385603137688
3695,165,Station_165,City_59,NCR,Basic,1421,Station_1421,City_185,NER,Standard,812,50,16.24,417.55,Express,9,0.15,19.713248869595063,83.83006842396537,19.529182,88.762949,Ahmedabad,Raipur,13.467843010432599,95.20185962768203
3182,1867,Station_1867,City_288,NER,Standard,1421,Station_1421,City_185,NER,Standard,1035,80,12.94,1053.14,Express,5,0.07,10.755532739355562,71.37758085602364,19.529182,88.762949,Kochi,Mumbai,31.79792791590485,95.44160417250475
8367,363,Station_363,City_199,NCR,Premium,1421,Station_1421,City_185,NER,Standard,312,60,5.2,108.39,Passenger,7,0.25,15.231131317827147,73.12577944036724,19.529182,88.762949,Bengaluru,Coimbatore,27.991997594310373,90.95343764756224
9090,1386,Station_1386,City_90,SR,Basic,1469,Station_1469,City_361,WR,Standard,390,70,5.57,229.86,Shatabdi,1,0.11,14.056510249113236,81.30434707481614,16.359867,88.941961,Ranchi,Bhopal,22.446934194130918,83.28073977285905
254,1515,Station_1515,City_256,NWR,Standard,1469,Station_1469,City_361,WR,Standard,158,120,1.32,76.56,Superfast,8,0.22,34.31157919279791,92.43421668069433,16.359867,88.941961,Bhopal,Aurangabad,8.524935599355224,70.42980502803907
8162,941,Station_941,City_194,WR,Premium,1469,Station_1469,City_361,WR,Standard,1266,70,18.09,1407.73,Express,8,0.18,16.083410337668415,81.67142584754691,16.359867,88.941961,Patna,Dehradun,33.492141876985315,93.87209218133891
3453,1493,Station_1493,City_292,NWR,Standard,1469,Station_1469,City_361,WR,Standard,864,100,8.64,659.91,Superfast,1,0.21,11.276207081154363,77.1818960098147,16.359867,88.941961,Patna,Amritsar,23.256207695714807,86.0234060770816
7397,1493,Station_1493,City_292,NWR,Standard,1469,Station_1469,City_361,WR,Standard,987,80,12.34,894.86,Passenger,10,0.13,24.926128516149223,77.35362175010225,16.359867,88.941961,Indore,Delhi,32.52575546565592,92.40631932305926
3659,1574,Station_1574,City_68,NER,Basic,1469,Station_1469,City_361,WR,Standard,52,50,1.04,24.44,Shatabdi,0,0.25,25.370995908261893,77.81430147178808,16.359867,88.941961,Amritsar,Pune,10.134555781746577,74.38747495325764
2,552,Station_552,City_108,WR,Standard,1297,Station_1297,City_411,NER,Standard,1477,120,12.31,699.16,Rajdhani,9,0.2,22.39572017071155,94.66911907530185,10.850027,86.975955,Shimla,Chandigarh,35.227978667724,86.05849699691754
6125,457,Station_457,City_425,ER,Basic,1297,Station_1297,City_411,NER,Standard,784,50,15.68,740.31,Superfast,3,0.22,23.4122674538162,81.75184019420112,10.850027,86.975955,Mysuru,Dehradun,31.118781612456857,68.57312838348533
9242,1168,Station_1168,City_266,NR,Premium,1297,Station_1297,City_411,NER,Standard,951,60,15.85,312.83,Express,5,0.27,10.141357901588089,77.12943089744546,10.850027,86.975955,Madurai,Dehradun,10.955253693895237,79.00196440779023
3817,1622,Station_1622,City_333,SR,Basic,1297,Station_1297,City_411,NER,Standard,669,60,11.15,378.01,Passenger,9,0.15,21.429906551807576,90.53167722217026,10.850027,86.975955,Indore,Chandigarh,16.96563573358666,78.94300483058262
335,552,Station_552,City_108,WR,Standard,400,Station_400,City_292,NCR,Basic,1762,100,17.62,993.34,Superfast,5,0.07,23.157123242086392,83.21226459961683,24.292689,78.51319,Kochi,Amritsar,14.145904572265835,87.94149954583105
4213,274,Station_274,City_140,SCR,Standard,400,Station_400,City_292,NCR,Basic,761,100,7.61,482.01,Superfast,5,0.15,31.475340694583124,84.53597448273982,24.292689,78.51319,Kolkata,Bengaluru,13.44481193925498,75.95818591927605
424,1078,Station_1078,City_188,NER,Premium,400,Station_400,City_292,NCR,Basic,61,100,0.61,35.34,Express,5,0.27,16.20377302251549,69.81755823048539,24.292689,78.51319,Lucknow,Delhi,17.762235784990217,96.78958043157058
4794,664,Station_664,City_106,NWR,Basic,400,Station_400,City_292,NCR,Basic,1513,80,18.91,456.65,Express,7,0.09,23.678469431106258,70.25281828553798,24.292689,78.51319,Kochi,Indore,13.550866790382225,68.81689423436931
7473,616,Station_616,City_336,SR,Standard,400,Station_400,City_292,NCR,Basic,1400,80,17.5,978.87,Express,4,0.18,19.127790964395523,77.32066222109897,24.292689,78.51319,Ranchi,Nagpur,8.256065165815643,95.84384159269095
5704,1156,Station_1156,City_399,NR,Premium,400,Station_400,City_292,NCR,Basic,1462,50,29.24,1117.92,Superfast,7,0.27,23.385126750563177,95.81334708832973,24.292689,78.51319,Kolkata,Varanasi,14.474548492496087,76.34703385969839
1031,552,Station_552,City_108,WR,Standard,1518,Station_1518,City_76,NCR,Standard,156,60,2.6,56.45,Passenger,0,0.03,30.952555635084693,72.3426982176587,14.970844,89.646572,Jaipur,Guwahati,23.19452183126246,71.19195088071555
6351,1061,Station_1061,City_127,NWR,Premium,1518,Station_1518,City_76,NCR,Standard,647,70,9.24,601.86,Shatabdi,3,0.21,23.400162628649447,74.85378469581349,14.970844,89.646572,Shimla,Mumbai,30.004822267867937,78.1863495218932
3339,552,Station_552,City_108,WR,Standard,1398,Station_1398,City_178,NR,Standard,224,50,4.48,80.18,Superfast,6,0.29,14.177937003807045,87.49220888812442,20.183769,89.393568,Nagpur,Varanasi,15.639816021469787,76.39458714052124
128,1794,Station_1794,City_220,NR,Premium,1398,Station_1398,City_178,NR,Standard,137,100,1.37,161.62,Express,3,0.21,14.719235474638424,69.44647363091386,20.183769,89.393568,Pune,Varanasi,35.16699042617218,80.00875560094092
2658,778,Station_778,City_33,SCR,Standard,1398,Station_1398,City_178,NR,Standard,1509,70,21.56,719.26,Shatabdi,9,0.06,25.757011624055117,93.28035694596562,20.183769,89.393568,Trivandrum,Patna,9.20040429356737,89.77852978487917
1225,382,Station_382,City_22,NR,Premium,1398,Station_1398,City_178,NR,Standard,1330,60,22.17,840.31,Rajdhani,0,0.2,34.46631103672678,86.25785532526628,20.183769,89.393568,Lucknow,Madurai,15.418507704603112,92.12207823639503
890,1892,Station_1892,City_370,SR,Standard,1398,Station_1398,City_178,NR,Standard,1289,100,12.89,1153.54,Passenger,2,0.14,27.347298712389758,88.60741297635803,20.183769,89.393568,Guwahati,Delhi,36.28920968463355,86.50902438970854
6261,670,Station_670,City_150,NER,Premium,1398,Station_1398,City_178,NR,Standard,1477,70,21.1,1599.82,Passenger,0,0.02,13.802684301694015,93.20731492253333,20.183769,89.393568,Chennai,Amritsar,16.82269349956569,79.92009368281327
1997,907,Station_907,City_403,NCR,Standard,1398,Station_1398,City_178,NR,Standard,1448,70,20.69,520.79,Passenger,1,0.07,34.61541230770315,75.35408248185436,20.183769,89.393568,Dehradun,Kochi,11.908334122191343,96.1409006767691
3610,552,Station_552,City_108,WR,Standard,519,Station_519,City_109,NWR,Standard,1686,50,33.72,1067.04,Superfast,8,0.03,9.827146048232663,69.76205051213266,34.136916,88.076344,Hyderabad,Trivandrum,21.895240022941145,88.36922492377226
6194,1991,Station_1991,City_44,SCR,Premium,519,Station_519,City_109,NWR,Standard,1016,70,14.51,382.1,Rajdhani,1,0.25,24.126216700339814,96.36028794454873,34.136916,88.076344,Visakhapatnam,Patna,32.46233891909422,70.20764462992244
864,100,Station_100,City_313,NER,Premium,519,Station_519,City_109,NWR,Standard,1249,50,24.98,1159.57,Shatabdi,2,0.27,27.58594985523759,95.9362875152558,34.136916,88.076344,Raipur,Hyderabad,27.446853503853742,70.23909371813477
1417,1800,Station_1800,City_165,NWR,Premium,519,Station_519,City_109,NWR,Standard,791,70,11.3,270.87,Shatabdi,4,0.09,24.40220944356804,88.0336391922188,34.136916,88.076344,Aurangabad,Kochi,28.42867898753108,85.98159175849622
7723,552,Station_552,City_108,WR,Standard,422,Station_422,City_483,NCR,Premium,265,60,4.42,184.68,Superfast,1,0.05,27.116411045003844,79.56197021878053,36.214408,76.630822,Chennai,Jodhpur,8.816251146364651,72.45836512789133
625,311,Station_311,City_116,NCR,Basic,422,Station_422,City_483,NCR,Premium,958,60,15.97,867.0,Rajdhani,0,0.19,23.9515245579651,70.74340054680039,36.214408,76.630822,Chandigarh,Patna,11.217761867013806,75.3557303848176
4465,1363,Station_1363,City_111,NER,Standard,422,Station_422,City_483,NCR,Premium,1186,50,23.72,624.34,Rajdhani,3,0.09,27.615852265064852,72.98813872352983,36.214408,76.630822,Coimbatore,Jaipur,35.43836394981574,81.58306644000784
1500,327,Station_327,City_333,NR,Standard,422,Station_422,City_483,NCR,Premium,1206,60,20.1,1153.26,Express,9,0.01,35.711021126543194,83.23660085465137,36.214408,76.630822,Mysuru,Chandigarh,22.390743353349123,71.44579432348431
845,1623,Station_1623,City_155,NER,Basic,422,Station_422,City_483,NCR,Premium,1738,120,14.48,1141.37,Shatabdi,1,0.3,33.17103990730344,86.22984105456594,36.214408,76.630822,Jammu,Chandigarh,35.797508680641755,73.42205418780426
8446,1720,Station_1720,City_277,NER,Premium,422,Station_422,City_483,NCR,Premium,1822,80,22.77,887.29,Superfast,0,0.01,26.6616097978166,92.3160231705281,36.214408,76.630822,Trivandrum,Kolkata,15.036407938910672,92.23005795952122
6445,1507,Station_1507,City_326,SR,Standard,422,Station_422,City_483,NCR,Premium,531,60,8.85,385.8,Express,4,0.09,10.025837836320505,94.82867903691402,36.214408,76.630822,Ahmedabad,Jodhpur,13.93008342169125,82.9537843518089
3583,1480,Station_1480,City_244,NWR,Premium,422,Station_422,City_483,NCR,Premium,1650,60,27.5,529.05,Superfast,4,0.29,16.790165251492912,92.69228275172401,36.214408,76.630822,Bhopal,Bengaluru,9.617879869853153,82.22684002201107
8724,552,Station_552,City_108,WR,Standard,1376,Station_1376,City_375,SCR,Standard,1584,120,13.2,1281.74,Rajdhani,5,0.0,32.862013595831115,74.88682398604823,19.791924,74.322188,Surat,Ahmedabad,11.888926948895872,85.83757411200554
755,1882,Station_1882,City_105,NWR,Premium,1376,Station_1376,City_375,SCR,Standard,223,120,1.86,250.21,Passenger,1,0.01,17.784872312297068,90.04376247914794,19.791924,74.322188,Guwahati,Raipur,23.346852405375373,80.44177687586476
9518,1815,Station_1815,City_395,NER,Standard,1376,Station_1376,City_375,SCR,Standard,555,100,5.55,315.59,Rajdhani,10,0.04,25.826055370604237,73.35884440119708,19.791924,74.322188,Ranchi,Kanpur,12.94683975792832,69.69239925387922
2026,1835,Station_1835,City_381,SR,Basic,1376,Station_1376,City_375,SCR,Standard,1471,50,29.42,1496.89,Passenger,8,0.3,21.043140034660755,96.64774039769146,19.791924,74.322188,Ahmedabad,Jodhpur,12.852978258600741,72.83251818339204
6040,1561,Station_1561,City_254,SR,Standard,1376,Station_1376,City_375,SCR,Standard,1682,50,33.64,1783.96,Superfast,0,0.29,28.398413064077285,95.75191337412102,19.791924,74.322188,Mumbai,Indore,27.159461842846394,92.03240662924723
4689,1531,Station_1531,City_427,SR,Standard,1376,Station_1376,City_375,SCR,Standard,848,60,14.13,800.28,Passenger,10,0.11,33.57500604585945,91.92055445704293,19.791924,74.322188,Coimbatore,Hyderabad,16.11844983367847,70.76005088208048
3744,195,Station_195,City_494,SCR,Basic,1376,Station_1376,City_375,SCR,Standard,1714,120,14.28,1764.57,Superfast,9,0.12,20.29906399564809,94.07372542859623,19.791924,74.322188,Visakhapatnam,Dehradun,26.382306174270763,80.46176168215844
6582,1378,Station_1378,City_157,NR,Standard,1376,Station_1376,City_375,SCR,Standard,1875,70,26.79,1571.68,Shatabdi,0,0.26,30.693395000849897,68.20931252536757,19.791924,74.322188,Jodhpur,Kolkata,22.8355950274184,70.94533422263464
3,1681,Station_1681,City_40,NER,Standard,1048,Station_1048,City_113,SR,Premium,1288,60,21.47,872.9,Superfast,5,0.3,30.34552014334093,93.38211400939709,15.626428,80.244942,Jodhpur,Amritsar,33.860034307115804,82.55109008019225
1732,607,Station_607,City_408,NER,Basic,1048,Station_1048,City_113,SR,Premium,1407,50,28.14,1322.73,Passenger,2,0.26,34.230337445858055,82.4668866101143,15.626428,80.244942,Coimbatore,Surat,9.718616617459874,94.10251863345633
7042,1510,Station_1510,City_173,NWR,Standard,1048,Station_1048,City_113,SR,Premium,489,70,6.99,273.68,Rajdhani,7,0.09,12.838535593232553,71.42335364482489,15.626428,80.244942,Surat,Chandigarh,27.53476121378903,91.07618695949773
8567,557,Station_557,City_19,WR,Basic,1048,Station_1048,City_113,SR,Premium,163,100,1.63,162.54,Express,4,0.18,12.148378900293906,79.23252656377502,15.626428,80.244942,Shillong,Guwahati,31.37371498561072,70.03864879767669
1376,1681,Station_1681,City_40,NER,Standard,1789,Station_1789,City_426,WR,Standard,468,120,3.9,311.99,Superfast,3,0.14,33.78839223133301,83.92761910556396,27.646119,78.98876,Jaipur,Kolkata,24.256260641068568,71.05176212500798
7881,128,Station_128,City_494,NCR,Premium,1789,Station_1789,City_426,WR,Standard,1635,120,13.62,1894.75,Rajdhani,8,0.11,15.737498091638379,74.09188089958694,27.646119,78.98876,Coimbatore,Shillong,9.624838486953777,74.92662858996736
4881,1036,Station_1036,City_270,SCR,Standard,1789,Station_1789,City_426,WR,Standard,659,60,10.98,678.9,Express,10,0.09,36.48335566473142,89.36706294970361,27.646119,78.98876,Kanpur,Shillong,31.349118549930072,69.99081086172345
7698,106,Station_106,City_314,NER,Premium,1789,Station_1789,City_426,WR,Standard,590,100,5.9,659.22,Passenger,7,0.24,18.906485084413756,78.00911668807976,27.646119,78.98876,Chandigarh,Kanpur,9.485122132381143,71.27296301575288
8053,1751,Station_1751,City_143,SCR,Basic,1789,Station_1789,City_426,WR,Standard,930,60,15.5,783.14,Rajdhani,8,0.2,14.590615395538741,69.1736521526472,27.646119,78.98876,Patna,Mumbai,27.90016422133241,81.55813734690798
1878,1305,Station_1305,City_67,ER,Basic,1789,Station_1789,City_426,WR,Standard,908,50,18.16,424.64,Superfast,6,0.04,9.14280076725283,91.11219290832655,27.646119,78.98876,Mysuru,Kanpur,9.350422025296165,84.36752374539812
8530,490,Station_490,City_412,SR,Standard,1789,Station_1789,City_426,WR,Standard,1616,60,26.93,769.44,Express,9,0.28,16.736354965139107,89.47025623107065,27.646119,78.98876,Surat,Hyderabad,36.38577179600752,90.10014721221916
